Sales_Rep,Business,Age,Female,Years,College,Personality,Certficates,Feedback,Salary,Referral Score,,
1,Software,35,0,1,Yes,Explorer,2,3.15,102000,7,,
2,Software,29,0,1,Yes,Explorer,1,3.8,85000,5,,
3,Hardware,39,0,5,Yes,Diplomat,5,2.81,118000,10,0,1
4,Hardware,58,1,9,No,Diplomat,5,2.87,81400,8,0,1
5,Hardware,37,1,2,Yes,Diplomat,4,1.52,100600,9,0,1
6,Hardware,59,0,1,No,Sentinel,1,3.35,44000,4,0,1
7,Hardware,45,1,10,No,Explorer,2,1.79,72000,10,0,1
8,Software,51,1,10,No,Diplomat,2,1.65,51800,6,0,1
9,Software,24,0,4,Yes,Diplomat,2,3.73,85000,9,0,1
10,Software,35,1,2,Yes,Diplomat,5,2.04,70000,7,0,1
11,Software,41,1,1,Yes,Explorer,2,3.63,73800,9,0,1
12,Software,49,1,1,Yes,Analyst,2,1.87,57200,4,0,1
13,Hardware,47,0,2,Yes,Explorer,3,2.68,65000,5,0,1
14,Hardware,49,0,1,Yes,Diplomat,3,1.51,108000,6,0,1
15,Software,27,1,2,Yes,Explorer,3,1.73,54600,5,0,1
16,Software,54,1,2,Yes,Explorer,2,3.99,68200,10,0,1
17,Hardware,45,0,2,Yes,Analyst,1,2.03,47000,6,0,1
18,Hardware,41,1,1,No,Analyst,3,4,74800,5,0,1
19,Hardware,50,0,1,Yes,Explorer,3,1.32,80000,6,0,1
20,Hardware,30,0,1,Yes,Sentinel,4,1.26,65000,5,0,1
21,Hardware,63,0,2,Yes,Explorer,1,2.25,78000,3,0,1
22,Software,49,1,1,No,Diplomat,5,2.75,59200,9,0,1
23,Hardware,48,1,1,Yes,Explorer,2,3.25,90400,5,0,1
24,Hardware,28,1,1,Yes,Explorer,1,2.82,59400,3,0,1
25,Hardware,34,0,1,Yes,Explorer,2,2.55,64000,7,0,1
26,Hardware,43,0,1,Yes,Explorer,1,1.85,85000,6,0,1
27,Software,34,1,1,Yes,Explorer,1,1.81,59200,5,0,1
28,Software,37,0,4,Yes,Diplomat,2,1.83,66000,7,0,1
29,Hardware,25,0,2,Yes,Diplomat,0,1.18,40000,3,0,1
30,Software,49,1,1,No,Sentinel,3,3.33,67200,4,0,1
31,Hardware,54,0,6,Yes,Explorer,2,1.55,83000,9,0,1
32,Software,53,1,2,Yes,Diplomat,3,3.06,72400,7,0,1
33,Hardware,49,0,1,Yes,Analyst,4,2.28,71000,5,0,1
34,Hardware,36,0,2,No,Explorer,6,2.23,96000,6,0,1
35,Hardware,61,0,9,Yes,Diplomat,3,4,100000,8,0,1
36,Software,40,0,1,Yes,Explorer,2,3.98,116000,8,0,1
37,Software,43,1,1,Yes,Sentinel,3,3.83,44400,3,0,1
38,Hardware,41,0,2,No,Diplomat,1,2.03,55000,9,0,1
39,Hardware,44,1,7,Yes,Explorer,2,2.1,74200,8,0,1
40,Hardware,60,1,1,Yes,Explorer,1,2.86,56000,6,0,1
41,Software,41,1,4,Yes,Explorer,2,2.39,69800,6,0,1
42,Software,47,0,1,Yes,Diplomat,3,2.45,106000,8,0,1
43,Hardware,44,1,2,Yes,Sentinel,6,3.47,85200,8,0,1
44,Hardware,45,0,1,Yes,Diplomat,4,2.71,140000,7,0,1
45,Software,32,0,1,Yes,Explorer,3,2.46,60000,4,0,1
46,Hardware,36,0,2,Yes,Diplomat,4,1.12,66000,6,0,1
47,Hardware,27,0,1,Yes,Explorer,0,4,69000,6,0,1
48,Hardware,43,1,1,Yes,Diplomat,1,2.11,49400,8,0,1
49,Software,37,0,1,Yes,Explorer,1,1.8,53000,4,0,1
50,Software,26,0,2,Yes,Sentinel,4,1.48,36000,3,0,1
51,Software,50,1,5,No,Diplomat,1,3.82,86000,9,0,1
52,Hardware,41,0,1,Yes,Diplomat,1,3.47,70000,7,0,1
53,Software,31,0,1,Yes,Analyst,3,3.78,63000,4,0,1
54,Hardware,52,1,4,Yes,Analyst,3,2.8,71600,6,0,1
55,Software,34,1,2,Yes,Sentinel,2,3.53,91200,5,0,1
56,Hardware,34,0,2,Yes,Analyst,5,2.11,81000,4,0,1
57,Software,31,0,1,Yes,Sentinel,5,3.42,71000,5,0,1
58,Hardware,47,0,2,Yes,Analyst,3,3.5,97000,6,0,1
59,Software,22,1,2,Yes,Explorer,1,2.3,43600,6,0,1
60,Software,49,0,1,Yes,Explorer,4,1.55,99000,9,0,1
61,Hardware,33,0,1,Yes,Diplomat,4,3.8,127000,9,0,1
62,Software,50,1,1,Yes,Sentinel,4,2.81,77000,9,0,1
63,Hardware,49,1,1,Yes,Explorer,4,2.53,66200,6,0,1
64,Hardware,28,1,2,Yes,Explorer,1,4,70400,8,0,1
65,Software,27,1,1,Yes,Analyst,1,3.8,68600,4,0,1
66,Hardware,28,1,4,Yes,Diplomat,4,3.24,67400,8,0,1
67,Software,34,0,2,Yes,Explorer,2,1.58,60000,4,0,1
68,Software,23,0,1,Yes,Explorer,1,3.29,71000,6,0,1
69,Hardware,45,0,3,Yes,Diplomat,0,2.23,76000,4,0,1
70,Software,54,1,1,Yes,Analyst,1,2.94,64200,3,0,1
71,Software,25,1,1,Yes,Explorer,4,1.27,52000,5,0,1
72,Hardware,55,0,2,Yes,Diplomat,5,1.32,86000,6,0,1
73,Hardware,57,1,5,No,Explorer,5,1.47,80600,9,0,1
74,Hardware,59,1,2,Yes,Analyst,4,4,78200,5,0,1
75,Software,57,0,1,Yes,Sentinel,0,1.36,50000,3,0,1
76,Software,33,1,2,No,Explorer,4,2.74,69400,8,0,1
77,Hardware,32,0,1,Yes,Explorer,1,1.11,79000,3,0,1
78,Hardware,43,1,2,Yes,Sentinel,0,1.55,47400,2,0,1
79,Hardware,29,0,1,Yes,Diplomat,4,3.07,103000,10,0,1
80,Software,47,1,2,Yes,Explorer,4,1.51,89600,9,0,1
81,Software,31,0,10,Yes,Sentinel,2,2.68,53000,4,0,1
82,Hardware,32,0,6,Yes,Sentinel,3,1.37,67000,5,0,1
83,Software,29,1,1,No,Diplomat,4,2.15,61200,5,0,1
84,Software,44,0,2,Yes,Explorer,3,3.47,77000,4,0,1
85,Software,29,1,2,Yes,Sentinel,5,2.1,75200,8,0,1
86,Software,57,1,2,No,Explorer,4,2.1,58600,9,0,1
87,Software,30,0,2,Yes,Explorer,2,2.72,70000,5,0,1
88,Software,39,0,2,Yes,Diplomate,5,3.22,114000,9,0,1
89,Software,37,1,2,Yes,Explorer,0,3.8,75600,8,0,1
90,Hardware,50,0,2,No,Diplomat,3,3.65,78000,5,0,1
91,Hardware,52,0,2,No,Diplomat,6,3.34,114000,10,0,1
92,Software,39,0,2,Yes,Sentinel,4,3.84,57000,4,0,1
93,Software,35,1,1,Yes,Analyst,4,3.54,74000,7,0,1
94,Software,52,0,2,Yes,Diplomat,4,3.44,78000,9,0,1
95,Hardware,50,1,5,Yes,Diplomat,2,2.17,70000,4,0,1
96,Software,28,0,1,Yes,Diplomat,5,2.85,76000,5,0,1
97,Hardware,64,0,5,Yes,Explorer,0,1.13,59000,3,0,1
98,Hardware,61,1,2,No,Sentinel,1,1.39,37800,3,0,1
99,Hardware,47,0,1,Yes,Explorer,2,3.35,82000,7,0,1
100,Software,40,0,2,Yes,Analyst,3,3.6,90000,8,0,1
101,Software,32,0,1,Yes,Explorer,1,3.88,73000,6,0,1
102,Software,24,0,2,Yes,Explorer,0,3.46,63000,5,0,1
103,Software,39,0,1,Yes,Explorer,3,2.87,114000,8,0,1
104,Hardware,57,0,1,Yes,Explorer,3,2.87,106000,7,0,1
105,Software,25,1,1,Yes,Explorer,6,2.46,67000,4,0,1
106,Hardware,57,0,2,Yes,Diplomat,5,1.88,86000,8,0,1
107,Software,28,1,1,No,Sentinel,0,2.74,32400,3,0,1
108,Hardware,53,0,1,Yes,Explorer,3,3.17,83000,6,0,1
109,Hardware,48,0,2,Yes,Explorer,1,2.65,86000,9,0,1
110,Hardware,26,0,1,Yes,Explorer,2,3.59,59000,9,0,1
111,Software,23,0,1,Yes,Diplomat,3,1.6,77000,7,0,1
112,Software,40,1,2,No,Sentinel,4,1.86,50000,5,0,1
113,Hardware,45,0,1,Yes,Analyst,0,2.28,42000,2,0,1
114,Software,43,0,2,Yes,Diplomat,2,3.82,80000,9,0,1
115,Software,41,0,1,Yes,Diplomat,6,3.8,167000,10,0,1
116,Hardware,51,0,2,Yes,Explorer,3,2.43,115000,10,0,1
117,Software,38,0,2,Yes,Diplomat,5,2.06,83000,7,0,1
118,Software,47,0,10,No,Explorer,4,2,95000,5,0,1
119,Hardware,57,0,1,No,Diplomat,6,3.23,144000,9,0,1
120,Hardware,49,0,2,Yes,Explorer,5,4,144000,8,0,1
121,Software,25,0,6,No,Diplomat,0,2.23,36000,5,0,1
122,Software,29,0,3,Yes,Sentinel,2,2.76,61000,3,0,1
123,Software,44,0,1,Yes,Analyst,0,3.84,57000,5,0,1
124,Software,35,0,1,No,Explorer,3,2.88,95000,7,0,1
125,Software,40,0,2,No,Sentinel,2,3.59,52000,4,0,1
126,Software,35,1,1,Yes,Diplomat,3,1.83,67000,6,0,1
127,Software,37,1,2,Yes,Explorer,3,2.01,75600,10,0,1
128,Software,40,0,2,No,Explorer,4,3.76,102000,9,0,1
129,Hardware,27,0,1,Yes,Sentinel,1,4,55000,6,0,1
130,Hardware,36,1,1,No,Diplomat,4,3.55,96800,8,0,1
131,Hardware,25,0,1,No,Explorer,1,3.82,61000,4,0,1
132,Software,21,0,1,No,Diplomat,3,1.45,46000,5,0,1
133,Hardware,54,0,2,Yes,Explorer,4,2.12,131000,7,0,1
134,Software,50,1,5,Yes,Analyst,2,3.77,64000,6,0,1
135,Software,44,0,12,Yes,Explorer,3,2.9,158000,10,0,1
136,Software,24,1,7,Yes,Explorer,4,2.44,54200,10,0,1
137,Hardware,43,0,1,Yes,Sentinel,1,1.75,49000,4,0,1
138,Software,37,0,1,No,Explorer,0,2.79,50000,8,0,1
139,Software,44,1,1,Yes,Analyst,1,1.57,34200,3,0,1
140,Software,40,0,2,Yes,Diplomat,1,2.14,57000,8,0,1
141,Hardware,57,1,1,Yes,Explorer,3,3.23,85600,9,0,1
142,Hardware,59,0,12,Yes,Explorer,1,3.58,90000,10,0,1
143,Software,21,0,1,Yes,Sentinel,1,3.78,37000,4,0,1
144,Software,37,1,8,Yes,Analyst,0,2.07,54600,3,0,1
145,Software,34,0,1,No,Diplomat,0,1.96,35000,6,0,1
146,Hardware,46,1,2,Yes,Analyst,2,3.08,57800,10,0,1
147,Hardware,41,1,2,Yes,Explorer,0,1.95,69800,4,0,1
148,Hardware,59,0,1,No,Analyst,3,1.32,49000,4,0,1
149,Hardware,43,0,2,No,Analyst,1,1.11,40000,4,0,1
150,Software,24,0,2,No,Diplomat,2,2.34,38000,6,0,1
151,Hardware,47,1,2,No,Sentinel,5,2.81,84600,6,0,1
